provider,category,name,serving_size,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugar_g,protein_g,entities
Chick-Fil-A,Drinks,Small Dr Pepper®,320,140.0,0.0,0.0,0.0,0,55,36,0,35,0,"['low-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','mid-carb','high-sugar','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Medium Dr Pepper®,434,180.0,0.0,0.0,0.0,0,75,48,0,47,0,"['low-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','mid-carb','high-sugar','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Large Dr Pepper®,624,260.0,0.0,0.0,0.0,0,105,70,0,67,0,"['mid-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','high-carb','high-sugar','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,DASANI® Bottled Water,479,0.0,0.0,0.0,0.0,0,0,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,DASANI® Bottled Water,479,0.0,0.0,0.0,0.0,0,0,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Honest Kids® Apple Juice,170,35.0,0.0,0.0,0.0,0,15,9,0,8,0,"['low-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','low-carb','mid-sugar','fiber-free','protein-free','Chick-Fil-A','Drinks','medium-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Honest Kids® Apple Juice,170,35.0,0.0,0.0,0.0,0,15,9,0,8,0,"['low-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','low-carb','mid-sugar','fiber-free','protein-free','Chick-Fil-A','Drinks','medium-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Simply Orange®,326,160.0,0.0,0.0,0.0,0,10,34,0,30,2,"['low-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','mid-carb','high-sugar','fiber-free','low-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Simply Orange®,326,160.0,0.0,0.0,0.0,0,10,34,0,30,2,"['low-calorie','fat-free','sat-fat-free','cholesterol-free','low-sodium','mid-carb','high-sugar','fiber-free','low-protein','Chick-Fil-A','Drinks','large-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,1% Chocolate Milk,198,140.0,2.0,1.5,0.0,10,160,23,0,21,7,"['low-calorie','low-fat','low-sat-fat','low-cholesterol','mid-sodium','mid-carb','high-sugar','fiber-free','mid-protein','Chick-Fil-A','Drinks','medium-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,1% Chocolate Milk,198,140.0,2.0,1.5,0.0,10,160,23,0,21,7,"['low-calorie','low-fat','low-sat-fat','low-cholesterol','mid-sodium','mid-carb','high-sugar','fiber-free','mid-protein','Chick-Fil-A','Drinks','medium-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,1% Milk,213,90.0,2.0,1.5,0.0,10,105,10,0,10,7,"['low-calorie','low-fat','low-sat-fat','low-cholesterol','low-sodium','low-carb','mid-sugar','fiber-free','mid-protein','Chick-Fil-A','Drinks','medium-portion','paleo','Gluten-Free']"
